Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\vehicles\slingshot-p01.blend"
Fra:1 Mem:33.26M (Peak 33.26M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | grille_horizontal.002
Fra:1 Mem:33.26M (Peak 33.26M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | grille_horizontal.004
Fra:1 Mem:33.28M (Peak 33.28M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | central_lamp_outer_cheek.001
Fra:1 Mem:33.29M (Peak 33.29M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | central_lamp_black_housing
Fra:1 Mem:33.29M (Peak 33.29M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | lights_head_center
Fra:1 Mem:33.31M (Peak 33.31M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | central_lamp_projector_division.001
Fra:1 Mem:33.31M (Peak 33.31M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | central_lamp_projector_division.002
Fra:1 Mem:33.33M (Peak 33.33M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hood_scoop_roof
Fra:1 Mem:33.34M (Peak 33.34M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hood_scoop_side
Fra:1 Mem:33.34M (Peak 33.34M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | seat_trim_passenger
Fra:1 Mem:33.37M (Peak 33.37M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hood_scoop_side.001
Fra:1 Mem:33.39M (Peak 33.39M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hood_scoop_floor
Fra:1 Mem:33.39M (Peak 33.39M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hood_louver
Fra:1 Mem:33.41M (Peak 33.41M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hood_louver.001
Fra:1 Mem:33.43M (Peak 33.43M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hood_louver.002
Fra:1 Mem:33.45M (Peak 33.45M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hood_louver.005
Fra:1 Mem:33.47M (Peak 33.47M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | cockpit_front_bulkhead
Fra:1 Mem:33.47M (Peak 33.47M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_center_bulkhead
Fra:1 Mem:33.49M (Peak 33.49M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | seat_driver
Fra:1 Mem:33.50M (Peak 33.50M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | roll_hoop_inner_passenger
Fra:1 Mem:33.51M (Peak 33.51M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | mirror_driver
Fra:1 Mem:33.53M (Peak 33.53M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | mirror_glass_driver
Fra:1 Mem:33.54M (Peak 33.54M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | seat_passenger
Fra:1 Mem:33.55M (Peak 33.55M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | mirror_stalk_passenger
Fra:1 Mem:33.55M (Peak 33.55M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hoop_rear_brace_passenger.001
